| 完整的论文名称                                                                                                          | 简要说明                                                                                                     | 论文 PDF 链接                                                            | GitHub 链接                                                                                                          | GitHub Star | 发表会议名称             | 发表时间      |
| **LightMem: Lightweight and Efficient Memory-Augmented Generation**                                              | 受 Atkinson-Shiffrin 记忆模型启发，分 sensory / short-term / long-term memory，强调低开销和 sleep-time update。           | [https://arxiv.org/pdf/2510.18866](https://arxiv.org/pdf/2510.18866) | [https://github.com/zjunlp/LightMem](https://github.com/zjunlp/LightMem)                                           |         910 | ICLR 2026          | 2026年4月   |
| **MemoryBank: Enhancing Large Language Models with Long-Term Memory**                                            | 较早的长期对话记忆机制；支持 recall、用户画像更新，并引入 Ebbinghaus 遗忘曲线。                                                        | [https://arxiv.org/pdf/2305.10250](https://arxiv.org/pdf/2305.10250) | [https://github.com/zhongwanjun/MemoryBank-SiliconFriend](https://github.com/zhongwanjun/MemoryBank-SiliconFriend) |         431 | AAAI 2024          | 2024年2月   |
| **G-Memory: Tracing Hierarchical Memory for Multi-Agent Systems**                                                | 多智能体层次图记忆：interaction graph、query graph、insight graph，记录协作轨迹和抽象经验。                                       | [https://arxiv.org/pdf/2506.07398](https://arxiv.org/pdf/2506.07398) | [https://github.com/bingreeky/GMemory](https://github.com/bingreeky/GMemory)                                       |         242 | NeurIPS 2025       | 2025年12月  |
| **MemEvolve: Meta-Evolution of Agent Memory Systems**                                                            | 让 memory architecture 本身可进化，同时提出 EvolveLab，把 memory 系统模块化为 encode/store/retrieve/manage。                 | [https://arxiv.org/pdf/2512.18746](https://arxiv.org/pdf/2512.18746) | [https://github.com/bingreeky/MemEvolve](https://github.com/bingreeky/MemEvolve)                                   |         238 | ICML 2026          | 2026年7月   |
| **Nemori: Self-Organizing Agent Memory Inspired by Cognitive Science**                                           | 自组织 agent memory；用事件分割理论确定 memory granularity，用 Predict-Calibrate 原则更新知识。                                | [https://arxiv.org/pdf/2508.03341](https://arxiv.org/pdf/2508.03341) | [https://github.com/nemori-ai/nemori](https://github.com/nemori-ai/nemori)                                         |         203 | arXiv              | 2025年8月   |
| **SuperLocalMemory: Privacy-Preserving Multi-Agent Memory with Bayesian Trust Defense Against Memory Poisoning** | 本地优先多智能体 memory；SQLite / FTS5 / KG clustering + Bayesian trust scoring，防 memory poisoning。               | [https://arxiv.org/pdf/2603.02240](https://arxiv.org/pdf/2603.02240) | [https://github.com/qualixar/superlocalmemory](https://github.com/qualixar/superlocalmemory)                       |         172 | arXiv / Zenodo 预印本 | 2026年2月   |
| **SuperLocalMemory V3: Information-Geometric Foundations for Zero-LLM Enterprise Agent Memory**                  | SuperLocalMemory 后续版本；用信息几何方法做 zero-LLM 企业级 memory 检索与生命周期管理。                                            | [https://arxiv.org/pdf/2603.14588](https://arxiv.org/pdf/2603.14588) | [https://github.com/qualixar/superlocalmemory](https://github.com/qualixar/superlocalmemory)                       |         172 | arXiv / Zenodo 预印本 | 2026年3月   |
| **LatentMem: Customizing Latent Memory for Multi-Agent Systems**                                                 | experience bank 存轨迹，memory composer 为不同 agent 生成角色相关 latent memory。                                      | [https://arxiv.org/pdf/2602.03036](https://arxiv.org/pdf/2602.03036) | [https://github.com/KANABOON1/LatentMem](https://github.com/KANABOON1/LatentMem)                                   |          46 | arXiv              | 2026年2月   |
| **Memp: Exploring Agent Procedural Memory**                                                                      | 研究 procedural memory 的 build / retrieval / update，比较 trajectory、script、proceduralization 等形式。            | [https://arxiv.org/pdf/2508.06433](https://arxiv.org/pdf/2508.06433) | [https://github.com/zjunlp/MemP](https://github.com/zjunlp/MemP)                                                   |          26 | arXiv              | 2025年8月   |
| **MemOCR: Layout-Aware Visual Memory for Efficient Long-Horizon Reasoning**                                      | 把历史记忆渲染成视觉布局图像，用标题、加粗、高亮等方式控制信息密度。                                                                       | [https://arxiv.org/pdf/2601.21468](https://arxiv.org/pdf/2601.21468) | [https://github.com/meituan/MemOCR](https://github.com/meituan/MemOCR)                                             |          26 | ICML 2026          | 2026年7月   |
| **E-mem: Multi-agent based Episodic Context Reconstruction for LLM Agent Memory**                                | 多个 assistant agents 保留未压缩 episodic context，由 master agent 做上下文重建。                                        | [https://arxiv.org/pdf/2601.21714](https://arxiv.org/pdf/2601.21714) | [https://github.com/dog-last/E-mem](https://github.com/dog-last/E-mem)                                             |          23 | ICML 2026          | 2026年7月   |
| **Just-In-Time Reinforcement Learning: Continual Learning in LLM Agents Without Gradient Updates**               | 又称 JitRL；通过检索历史经验并调节 logits，实现无梯度 test-time continual adaptation。                                        | [https://arxiv.org/pdf/2601.18510](https://arxiv.org/pdf/2601.18510) | [https://github.com/liushiliushi/JitRL](https://github.com/liushiliushi/JitRL)                                     |          23 | arXiv              | 2026年1月   |
| **Learning Query-Aware Budget-Tier Routing for Runtime Agent Memory**                                            | 又称 BudgetMem；根据 query 选择 Low / Mid / High 预算档 memory 模块，控制效果-成本权衡。                                       | [https://arxiv.org/pdf/2602.06025](https://arxiv.org/pdf/2602.06025) | [https://github.com/ViktorAxelsen/BudgetMem](https://github.com/ViktorAxelsen/BudgetMem)                           |          16 | ICML 2026          | 2026年7月   |
| **Evoking User Memory: Personalizing LLM via Recollection-Familiarity Adaptive Retrieval**                       | 又称 RF-Mem；借鉴 familiarity / recollection 双路径，在快速检索和深层重构检索间切换。                                             | [https://arxiv.org/pdf/2603.09250](https://arxiv.org/pdf/2603.09250) | [https://github.com/Zhang-Yingyi/ICLR2026_RF-Mem](https://github.com/Zhang-Yingyi/ICLR2026_RF-Mem)                 |          10 | ICLR 2026          | 2026年4月   |
| **Multi-Agent Debate with Memory Masking**                                                                       | 又称 MAD-M²；在多智能体 debate 中 mask 错误记忆，避免错误 reasoning 跨轮传播。                                                  | [https://arxiv.org/pdf/2603.20215](https://arxiv.org/pdf/2603.20215) | [https://github.com/HongduanTian/MAD-MM](https://github.com/HongduanTian/MAD-MM)                                   |           2 | ICLR 2026          | 2026年4月   |
| **Cost and accuracy of long-term graph memory in distributed LLM-based multi-agent systems**                     | 分布式多智能体 memory testbed；比较 vector memory 和 graph memory 的成本、时延和准确率。                                       | [https://arxiv.org/pdf/2601.07978](https://arxiv.org/pdf/2601.07978) | [https://github.com/wolffbe/dmas-long-context-memory](https://github.com/wolffbe/dmas-long-context-memory)         |           1 | arXiv              | 2026年1月   |
