| 完整的论文名称                                                                                                             | 简要说明                                                                                                                | 论文 PDF 链接                                                            | GitHub 链接                                                                                                          | 发表会议名称                | 发表时间                                                                          | 发表情况 |
| **Memory OS of AI Agent**                                                                                           | 又称 **MemoryOS**；短期、中期、长期个人记忆分层管理，包含 storage、updating、retrieval、generation。                                          | [https://arxiv.org/pdf/2506.06326](https://arxiv.org/pdf/2506.06326) | [https://github.com/BAI-LAB/MemoryOS](https://github.com/BAI-LAB/MemoryOS)                                         | arXiv                 | 2025年5月30日 ([arXiv][10])                                                      | EMNLP 2025 oral |
| **MemOS: An Operating System for Memory-Augmented Generation (MAG) in Large Language Models**                       | 把 memory 作为一等资源管理，提出 MemCube，统一 parametric / activation / plaintext memory 生命周期。                                    | [https://arxiv.org/pdf/2505.22101](https://arxiv.org/pdf/2505.22101) | [https://github.com/MemTensor/MemOS](https://github.com/MemTensor/MemOS)                                           | arXiv                 | 2025年5月28日 ([arXiv][11])                                                      | arXiv |
| **Mem-α: Learning Memory Construction via Reinforcement Learning**                                                  | 用 RL 训练 agent 学会何时、如何构建和更新 memory。                                                                                  | [https://arxiv.org/pdf/2509.25911](https://arxiv.org/pdf/2509.25911) | 未确认公开代码库                                                                                                           | arXiv                 | 2025年9月30日 ([arXiv][12])                                                      | arXiv |
| **OCR-Memory: Optical Context Retrieval for Long-Horizon Agent Memory**                                             | 把历史轨迹渲染为带视觉锚点的图像，通过 locate-and-transcribe 取回原文，降低 prompt token 成本。                                                  | [https://arxiv.org/pdf/2604.26622](https://arxiv.org/pdf/2604.26622) | 未确认公开代码库                                                                                                           | arXiv                 | 2026年4月29日 ([arXiv][13])                                                      | ACL 2026 main |
| **FSFM: A Biologically-Inspired Framework for Selective Forgetting of Agent Memory**                                | 选择性遗忘框架；面向效率、质量、安全，删除或衰减冗余、过时、恶意和隐私敏感 memory。                                                                       | [https://arxiv.org/pdf/2604.20300](https://arxiv.org/pdf/2604.20300) | 未确认公开代码库                                                                                                           | arXiv                 | 2026年4月22日 ([arXiv][14])                                                      | arXiv |
| **Belief Memory: Agent Memory Under Partial Observability**                                                         | 又称 **BeliefMem**；在部分可观测环境中保存多个候选结论和概率，用 Noisy-OR 更新信念。                                                              | [https://arxiv.org/pdf/2605.05583](https://arxiv.org/pdf/2605.05583) | 未确认公开代码库                                                                                                           | arXiv                 | 2026年5月7日 ([arXiv][15])                                                       | arXiv |
| **Nemori: Self-Organizing Agent Memory Inspired by Cognitive Science**                                              | 自组织 agent memory；用事件分割理论确定 memory granularity，用 Predict-Calibrate 原则更新知识。                                           | [https://arxiv.org/pdf/2508.03341](https://arxiv.org/pdf/2508.03341) | [https://github.com/nemori-ai/nemori](https://github.com/nemori-ai/nemori)                                         | arXiv                 | 2025年8月5日 ([arXiv][16])                                                       | arXiv |
| **Evoking User Memory: Personalizing LLM via Recollection-Familiarity Adaptive Retrieval**                          | 又称 **RF-Mem**；借鉴 familiarity / recollection 双路径，在快速检索和深层重构检索间切换。                                                    | [https://arxiv.org/pdf/2603.09250](https://arxiv.org/pdf/2603.09250) | [https://github.com/Zhang-Yingyi/ICLR2026_RF-Mem](https://github.com/Zhang-Yingyi/ICLR2026_RF-Mem)                 | ICLR 2026             | 会议：2026年4月；arXiv：2026年3月10日 ([OpenReview][17])                                | ICLR 2026 |
| **VikingMem: A Memory Base Management System for Stateful LLM-based Applications**                                  | Memory Base 管理系统；事件-实体模型、实体状态更新、时间压缩、多路径检索。                                                                         | [https://arxiv.org/pdf/2605.29640](https://arxiv.org/pdf/2605.29640) | 未确认公开代码库                                                                                                           | arXiv                 | 2026年5月28日 ([arXiv][18])                                                      | arXiv |
| **G-Memory: Tracing Hierarchical Memory for Multi-Agent Systems**                                                   | 多智能体层次图记忆：interaction graph、query graph、insight graph，记录协作轨迹和抽象经验。                                                  | [https://arxiv.org/pdf/2506.07398](https://arxiv.org/pdf/2506.07398) | [https://github.com/bingreeky/GMemory](https://github.com/bingreeky/GMemory)                                       | arXiv                 | 2025年6月9日 ([arXiv][19])                                                       | NeurIPS 2025 spotlight |
| **MIRIX: Multi-Agent Memory System for LLM-Based Agents**                                                           | 多 memory agent 协调六类记忆：Core、Episodic、Semantic、Procedural、Resource、Knowledge Vault。                                   | [https://arxiv.org/pdf/2507.07957](https://arxiv.org/pdf/2507.07957) | [https://github.com/Mirix-AI/MIRIX](https://github.com/Mirix-AI/MIRIX)                                             | arXiv                 | 2025年7月10日 ([arXiv][20])                                                      | arXiv |
| **LEGOMem: Modular Procedural Memory for Multi-agent LLM Systems for Workflow Automation**                          | 多智能体 workflow procedural memory；把成功轨迹拆成 full-task memory 和 subtask memory。                                          | [https://arxiv.org/pdf/2510.04851](https://arxiv.org/pdf/2510.04851) | 未确认公开代码库                                                                                                           | arXiv                 | 2025年10月6日 ([arXiv][21])                                                      | AAMAS 2026 |
| **LatentMem: Customizing Latent Memory for Multi-Agent Systems**                                                    | experience bank 存轨迹，memory composer 为不同 agent 生成角色相关 latent memory。                                                 | [https://arxiv.org/pdf/2602.03036](https://arxiv.org/pdf/2602.03036) | [https://github.com/KANABOON1/LatentMem](https://github.com/KANABOON1/LatentMem)                                   | arXiv                 | 2026年2月3日 ([arXiv][22])                                                       | arXiv |
| **Intrinsic Memory Agents: Heterogeneous Multi-Agent LLM Systems through Structured Contextual Memory**             | 每个 agent 维护自身 structured contextual memory，强调 agent 角色异质性。                                                          | [https://arxiv.org/pdf/2508.08997](https://arxiv.org/pdf/2508.08997) | 未确认公开代码库                                                                                                           | arXiv                 | 2025年8月                                                                       | arXiv |
| **E-mem: Multi-agent based Episodic Context Reconstruction for LLM Agent Memory**                                   | 多个 assistant agents 保留未压缩 episodic context，由 master agent 做上下文重建。                                                   | [https://arxiv.org/pdf/2601.21714](https://arxiv.org/pdf/2601.21714) | [https://github.com/dog-last/E-mem](https://github.com/dog-last/E-mem)                                             | arXiv                 | 2026年1月                                                                       | arXiv |
| **SEDM: Scalable Self-Evolving Distributed Memory for Agents**                                                      | 分布式自进化 memory；包括 verifiable write admission、self-scheduling controller、cross-domain knowledge diffusion。            | [https://arxiv.org/pdf/2509.09498](https://arxiv.org/pdf/2509.09498) | 论文称后续发布；当前未确认公开代码库                                                                                                 | arXiv                 | 2025年9月11日 ([arXiv][23])                                                      | arXiv |
| **RCR-Router: Efficient Role-Aware Context Routing for Multi-Agent LLM Systems with Structured Memory**             | 多智能体 role-aware context/memory routing；按 agent role、task stage、token budget 选择 memory 子集。                           | [https://arxiv.org/pdf/2508.04903](https://arxiv.org/pdf/2508.04903) | 论文称接受后发布；当前未确认公开代码库                                                                                                | arXiv                 | 2025年8月，最新版 v3：2025年8月12日 ([arXiv][24])                                       | arXiv |
| **Collaborative Memory: Multi-User Memory Sharing in LLM Agents with Dynamic Access Control**                       | 多用户、多 agent 共享记忆；private/shared memory + provenance + 动态权限控制。                                                       | [https://arxiv.org/pdf/2505.18279](https://arxiv.org/pdf/2505.18279) | 未确认公开代码库                                                                                                           | arXiv                 | 2025年5月23日 ([arXiv][25])                                                      | arXiv |
| **LLM-Powered Decentralized Generative Agents with Adaptive Hierarchical Knowledge Graph for Cooperative Planning** | 又称 **DAMCS**；去中心化多智能体记忆，用 hierarchical KG 和结构化通信支持开放世界合作规划。                                                         | [https://arxiv.org/pdf/2502.05453](https://arxiv.org/pdf/2502.05453) | 未确认 GitHub；项目页：[https://happyeureka.github.io/damcs/](https://happyeureka.github.io/damcs/)                        | arXiv                 | 2025年2月8日 ([arXiv][26])                                                       | AAAI 2025 Workshop MARW |
| **SuperLocalMemory: Privacy-Preserving Multi-Agent Memory with Bayesian Trust Defense Against Memory Poisoning**    | 本地优先多智能体 memory；SQLite/FTS5/KG clustering + Bayesian trust scoring，防 memory poisoning。                              | [https://arxiv.org/pdf/2603.02240](https://arxiv.org/pdf/2603.02240) | [https://github.com/qualixar/superlocalmemory](https://github.com/qualixar/superlocalmemory)                       | arXiv / Zenodo 预印本    | 2026年2月17日 ([arXiv][27])                                                      | arXiv / Zenodo |
| **SuperLocalMemory V3: Information-Geometric Foundations for Zero-LLM Enterprise Agent Memory**                     | SuperLocalMemory 后续版本；用信息几何方法做 zero-LLM 企业级 memory 检索与生命周期管理。                                                       | [https://arxiv.org/pdf/2603.14588](https://arxiv.org/pdf/2603.14588) | [https://github.com/qualixar/superlocalmemory](https://github.com/qualixar/superlocalmemory)                       | arXiv / Zenodo 预印本    | 2026年3月                                                                       | arXiv / Zenodo |
| **Multi-Agent Debate with Memory Masking**                                                                          | 又称 **MAD-M²**；在多智能体 debate 中 mask 错误记忆，避免错误 reasoning 跨轮传播。                                                         | [https://arxiv.org/pdf/2603.20215](https://arxiv.org/pdf/2603.20215) | [https://github.com/HongduanTian/MAD-MM](https://github.com/HongduanTian/MAD-MM)                                   | ICLR 2026             | 会议：2026年4月；arXiv：2026年3月3日 ([GitHub][28])                                     | ICLR 2026 |
| **Cost and accuracy of long-term graph memory in distributed LLM-based multi-agent systems**                        | 分布式多智能体 memory testbed；比较 mem0 向量记忆和 Graphiti 图记忆在 LoCoMo 上的成本、时延和准确率。                                              | [https://arxiv.org/pdf/2601.07978](https://arxiv.org/pdf/2601.07978) | [https://github.com/wolffbe/dmas-long-context-memory](https://github.com/wolffbe/dmas-long-context-memory)         | arXiv                 | 2026年1月12日 ([arXiv][29])                                                      | arXiv |
| **MemGPT: Towards LLMs as Operating Systems**                                                                       | OS 启发的虚拟上下文管理，把 memory 分为 main context、recall storage、archival storage 等层级。                                         | [https://arxiv.org/pdf/2310.08560](https://arxiv.org/pdf/2310.08560) | [https://research.memgpt.ai/](https://research.memgpt.ai/)                                                         | arXiv                 | 2023年10月12日 ([arXiv][30])                                                     | arXiv |
| **MemoryBank: Enhancing Large Language Models with Long-Term Memory**                                               | 较早的长期对话记忆机制；支持 recall、用户画像更新，并引入 Ebbinghaus 遗忘曲线。                                                                   | [https://arxiv.org/pdf/2305.10250](https://arxiv.org/pdf/2305.10250) | [https://github.com/zhongwanjun/MemoryBank-SiliconFriend](https://github.com/zhongwanjun/MemoryBank-SiliconFriend) | AAAI 2024             | 会议：2024年2月；arXiv：2023年5月17日 ([arXiv][31])                                     | AAAI 2024 |
| **Zep: A Temporal Knowledge Graph Architecture for Agent Memory**                                                   | 用 Graphiti 构建 temporal knowledge graph，面向企业 agent memory 的动态知识整合和时间关系。                                              | [https://arxiv.org/pdf/2501.13956](https://arxiv.org/pdf/2501.13956) | [https://github.com/getzep/graphiti](https://github.com/getzep/graphiti)                                           | arXiv                 | 2025年1月20日 ([arXiv][32])                                                      | arXiv |
| **A-MEM: Agentic Memory for LLM Agents**                                                                            | 基于 Zettelkasten 的 agentic memory；新增 memory 时自动生成 note、关键词、标签，并建立历史链接。                                               | [https://arxiv.org/pdf/2502.12110](https://arxiv.org/pdf/2502.12110) | [https://github.com/agiresearch/A-mem](https://github.com/agiresearch/A-mem)                                       | arXiv                 | 2025年2月17日 ([arXiv][33])                                                      | NeurIPS 2025 poster |
| **LangMem: Long-Term Memory for AI Agents**                                                                         | LangChain/LangGraph 的 agent memory SDK，提供 memory extraction、prompt optimization、long-term memory 管理。                | 无独立论文 PDF                                                            | [https://github.com/langchain-ai/langmem](https://github.com/langchain-ai/langmem)                                 | 工程项目 / SDK            | 2025年2月发布博客 ([langchain-ai.github.io][34])                                    | 工程项目 / SDK |
| **Multiple Memory Systems for Enhancing the Long-term Memory of Agent**                                             | 认知心理学启发的多记忆系统，把短期 memory 转成 retrieval memory unit 和 contextual memory unit。                                         | [https://arxiv.org/pdf/2508.15294](https://arxiv.org/pdf/2508.15294) | 未确认公开代码库                                                                                                           | arXiv                 | 2025年8月，最新版 v2：2025年10月9日 ([arXiv][35])                                       | arXiv |
| **Memp: Exploring Agent Procedural Memory**                                                                         | 原先我写成 “MemP: Towards the Memory Mechanism of LLM Agents” 不准确；官方标题是这个。研究 procedural memory 的 build/retrieval/update。 | [https://arxiv.org/pdf/2508.06433](https://arxiv.org/pdf/2508.06433) | [https://github.com/zjunlp/MemP](https://github.com/zjunlp/MemP)                                                   | arXiv；OpenReview 上有记录 | 2025年8月8日 ([arXiv][36])                                                       | arXiv |
| **How Memory Management Impacts LLM Agents: An Empirical Study of Experience-Following Behavior**                   | 研究 addition/deletion 如何影响 agent，提出 experience-following、error propagation、misaligned replay。                        | [https://arxiv.org/pdf/2505.16067](https://arxiv.org/pdf/2505.16067) | 论文称释放代码；未在本轮确认具体仓库                                                                                                 | arXiv                 | 2025年5月21日 ([arXiv][37])                                                      | arXiv |
| **D-MEM: Dopamine-Gated Agentic Memory via Reward Prediction Error Routing**                                        | 用 reward prediction error 路由 fast/slow memory；高 surprise/high utility 才触发慢速图记忆演化。                                   | [https://arxiv.org/pdf/2603.14597](https://arxiv.org/pdf/2603.14597) | 未确认公开代码库                                                                                                           | arXiv                 | 2026年3月15日 ([arXiv][38])                                                      | arXiv |
| **H-Mem: A Novel Memory Mechanism for Evolving and Retrieving Agent Memory via a Hybrid Structure**                 | 混合 tree + knowledge graph memory，建模长期记忆演化并支持树图联合检索。                                                                 | [https://arxiv.org/pdf/2605.15701](https://arxiv.org/pdf/2605.15701) | 未确认公开代码库                                                                                                           | arXiv                 | 2026年5月15日 ([arXiv][39])                                                      | arXiv |
| **eMEM: A Hybrid Spatio-Temporal Memory System For Embodied Agents**                                                | 面向 embodied agents 的时空图 memory；SQL + hnswlib + R-tree，多索引联合检索。                                                      | [https://arxiv.org/pdf/2606.03374](https://arxiv.org/pdf/2606.03374) | 论文称释放系统与 benchmark 代码；未确认具体仓库                                                                                      | arXiv                 | 2026年6月2日 ([arXiv][40])                                                       | arXiv |
| **Beyond Similarity: Trustworthy Memory Search for Personal AI Agents**                                             | 提出 **MemGate**；把 memory search 视为 trust boundary，用轻量 gate 过滤语义相似但不合适/有风险的 memory。                                   | [https://arxiv.org/pdf/2606.06054](https://arxiv.org/pdf/2606.06054) | 未确认公开代码库                                                                                                           | arXiv                 | 2026年6月4日 ([arXiv][41])                                                       | arXiv |
| **What Happens Inside Agent Memory? Circuit Analysis from Emergence to Diagnosis**                                  | 不是新 memory 架构，而是分析 mem0/A-MEM 内部写入、管理、读取阶段的失败模式。                                                                    | [https://arxiv.org/pdf/2605.03354](https://arxiv.org/pdf/2605.03354) | 未确认公开代码库                                                                                                           | arXiv                 | 2026年5月                                                                       | arXiv |
