| 完整的论文名称                                                                                                             | 简要说明                                                                                                                | 论文 PDF 链接                                                            | GitHub 链接                                                                                                          | 发表会议名称                | 发表时间                                                                          |
| **SEDM: Scalable Self-Evolving Distributed Memory for Agents**                                                      | 分布式自进化 memory；包括 verifiable write admission、self-scheduling controller、cross-domain knowledge diffusion。            | [https://arxiv.org/pdf/2509.09498](https://arxiv.org/pdf/2509.09498) | 论文称后续发布；当前未确认公开代码库                                                                                                 | arXiv                 | 2025年9月11日 ([arXiv][23])                                                      |
| **RCR-Router: Efficient Role-Aware Context Routing for Multi-Agent LLM Systems with Structured Memory**             | 多智能体 role-aware context/memory routing；按 agent role、task stage、token budget 选择 memory 子集。                           | [https://arxiv.org/pdf/2508.04903](https://arxiv.org/pdf/2508.04903) | 论文称接受后发布；当前未确认公开代码库                                                                                                | arXiv                 | 2025年8月，最新版 v3：2025年8月12日 ([arXiv][24])                                       |
| **Collaborative Memory: Multi-User Memory Sharing in LLM Agents with Dynamic Access Control**                       | 多用户、多 agent 共享记忆；private/shared memory + provenance + 动态权限控制。                                                       | [https://arxiv.org/pdf/2505.18279](https://arxiv.org/pdf/2505.18279) | 未确认公开代码库                                                                                                           | arXiv                 | 2025年5月23日 ([arXiv][25])                                                      |
| **LLM-Powered Decentralized Generative Agents with Adaptive Hierarchical Knowledge Graph for Cooperative Planning** | 又称 **DAMCS**；去中心化多智能体记忆，用 hierarchical KG 和结构化通信支持开放世界合作规划。                                                         | [https://arxiv.org/pdf/2502.05453](https://arxiv.org/pdf/2502.05453) | 未确认 GitHub；项目页：[https://happyeureka.github.io/damcs/](https://happyeureka.github.io/damcs/)                        | arXiv                 | 2025年2月8日 ([arXiv][26])                                                       |
| **Multiple Memory Systems for Enhancing the Long-term Memory of Agent**                                             | 认知心理学启发的多记忆系统，把短期 memory 转成 retrieval memory unit 和 contextual memory unit。                                         | [https://arxiv.org/pdf/2508.15294](https://arxiv.org/pdf/2508.15294) | 未确认公开代码库                                                                                                           | arXiv                 | 2025年8月，最新版 v2：2025年10月9日 ([arXiv][35])                                       |
| **How Memory Management Impacts LLM Agents: An Empirical Study of Experience-Following Behavior**                   | 研究 addition/deletion 如何影响 agent，提出 experience-following、error propagation、misaligned replay。                        | [https://arxiv.org/pdf/2505.16067](https://arxiv.org/pdf/2505.16067) | 论文称释放代码；未在本轮确认具体仓库                                                                                                 | arXiv                 | 2025年5月21日 ([arXiv][37])                                                      |
| **D-MEM: Dopamine-Gated Agentic Memory via Reward Prediction Error Routing**                                        | 用 reward prediction error 路由 fast/slow memory；高 surprise/high utility 才触发慢速图记忆演化。                                   | [https://arxiv.org/pdf/2603.14597](https://arxiv.org/pdf/2603.14597) | 未确认公开代码库                                                                                                           | arXiv                 | 2026年3月15日 ([arXiv][38])                                                      |
| **H-Mem: A Novel Memory Mechanism for Evolving and Retrieving Agent Memory via a Hybrid Structure**                 | 混合 tree + knowledge graph memory，建模长期记忆演化并支持树图联合检索。                                                                 | [https://arxiv.org/pdf/2605.15701](https://arxiv.org/pdf/2605.15701) | 未确认公开代码库                                                                                                           | arXiv                 | 2026年5月15日 ([arXiv][39])                                                      |
| **eMEM: A Hybrid Spatio-Temporal Memory System For Embodied Agents**                                                | 面向 embodied agents 的时空图 memory；SQL + hnswlib + R-tree，多索引联合检索。                                                      | [https://arxiv.org/pdf/2606.03374](https://arxiv.org/pdf/2606.03374) | 论文称释放系统与 benchmark 代码；未确认具体仓库                                                                                      | arXiv                 | 2026年6月2日 ([arXiv][40])                                                       |
| **Beyond Similarity: Trustworthy Memory Search for Personal AI Agents**                                             | 提出 **MemGate**；把 memory search 视为 trust boundary，用轻量 gate 过滤语义相似但不合适/有风险的 memory。                                   | [https://arxiv.org/pdf/2606.06054](https://arxiv.org/pdf/2606.06054) | 未确认公开代码库                                                                                                           | arXiv                 | 2026年6月4日 ([arXiv][41])                                                       |
| **What Happens Inside Agent Memory? Circuit Analysis from Emergence to Diagnosis**                                  | 不是新 memory 架构，而是分析 mem0/A-MEM 内部写入、管理、读取阶段的失败模式。                                                                    | [https://arxiv.org/pdf/2605.03354](https://arxiv.org/pdf/2605.03354) | 未确认公开代码库                                                                                                           | arXiv                 | 2026年5月                                                                       |
